kekehuo0	43	3	14.333333333333334
别a我了	39	3	13.0
一介卝书生	34	3	11.333333333333334
水静无月	83	3	27.666666666666668
巨嘤冲锋	44	3	14.666666666666666
麻衣道者	40	3	13.333333333333334
绿柳半夏...	60	3	20.0
对自己说灬	32	3	10.666666666666666
请叫我爸...	34	3	11.333333333333334
李浩宇的...	30	3	10.0
根号J	105	3	35.0
fireplay0	26	3	8.666666666666666
唯皇杂无...	29	3	9.666666666666666
Qs小圆	32	3	10.666666666666666
3127汪汪汪	80	3	26.666666666666668
指尖灬时光2	159	3	53.0
雨暮天西...	167	3	55.666666666666664
标哥开心6...	78	3	26.0
一直没定...	21	3	7.0
小猴无双	35	3	11.666666666666666
曾哥爱鱼蛋	26	3	8.666666666666666
S1E路一发	36	3	12.0
烟雨江南...	21	3	7.0
谢谢谢谢总	25	3	8.333333333333334
全华班世...	21	3	7.0
火祸魂	23	3	7.666666666666667
heart灬灬	30	3	10.0
你个傻砸	22	3	7.333333333333333
再添一生	20	3	6.666666666666667
健戈戈	31	3	10.333333333333334
Jio_EDM	25	3	8.333333333333334
花已向晚	66	3	22.0
从前有只...	48	3	16.0
喜欢眺望...	23	3	7.666666666666667
天羽飘零	47	3	15.666666666666666
小白脸想...	13	3	4.333333333333333
想消失啊	37	3	12.333333333333334
犀利的废墟	15	3	5.0
灬不言	28	3	9.333333333333334
覅是的我	26	3	8.666666666666666
風烟雲流	15	3	5.0
银月她姐	39	3	13.0
时间的烙	15	3	5.0
三杯空城	125	3	41.666666666666664
冕花	13	3	4.333333333333333
灬...	26	3	8.666666666666666
风会停息	94	3	31.333333333333332
TEISHINYOU	15	3	5.0
Rap纹恋	12	3	4.0
Dearest丶0	23	3	7.666666666666667
团子宇茉	25	3	8.333333333333334
Qetesh_	16	3	5.333333333333333
小牛哥	13	3	4.333333333333333
夏槿凉安...	11	3	3.6666666666666665
空城泪丶...	14	3	4.666666666666667
国民初恋...	19	3	6.333333333333333
孤龙	15	3	5.0
丶紫引z	10	3	3.3333333333333335
南鸩丶	41	3	13.666666666666666
极限潮...	16	3	5.333333333333333
东北虎	16	3	5.333333333333333
阿尔泰尔酱	45	3	15.0
智神塔	13	3	4.333333333333333
